area,avg_size,cars_per_apartment,cars_per_house,median_age_males,median_females,median_income,median_rent,mf_pop,never_married_females_over_15,never_married_males_over_15,percent_born_in _state,percent_born_in_other_state,percent_do_not_speak_english_well,percent_foreign_born,percent_married,percent_mortgage,percent_single_mothers,population
Area: 0.091 square miles,Average household size:Ashawa Estates:2.3 peopleWest Des Moines:2.3 people,Here:1.8city:1.4,This neighborhood:2.2West Des Moines:2.0,Median age:Males:This neighborhood:40.2 yearsWhole city:34.3 years,Females:This neighborhood:45.8 yearsWhole city:34.7 years,"Ashawa Estates:$79,797West Des Moines:$70,906",Ashawa Estates:$943West Des Moines:$843,Males:215Females:198,Ashawa Estates:14.2%city:15.2%,Ashawa Estates:16.5%West Des Moines:15.5%,Here:71.7%West Des Moines:64.2%,Ashawa Estates:22.2%West Des Moines:24.4%,Ashawa Estates:0.3%West Des Moines:1.8%,Here:0.9%city:0.8%,Here:53.6%West Des Moines:47.5%,Ashawa Estates:68.5%West Des Moines:72.3%,Ashawa Estates:9.8%West Des Moines:7.4%,Population: 414
Area: 0.125 square miles,Average household size:Ashbrook:16.5 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:2.2Des Moines:2.0,Median age:Males:This neighborhood:28.7 yearsWhole city:33.1 years,Females:This neighborhood:42.7 yearsWhole city:35.7 years,"Ashbrook:$43,283Des Moines:$49,203",Ashbrook:$694Des Moines:$690,Males:276Females:281,Ashbrook:15.4%city:18.9%,Ashbrook:21.8%Des Moines:21.7%,Here:51.9%Des Moines:66.5%,Ashbrook:18.0%Des Moines:20.3%,Ashbrook:14.8%Des Moines:4.7%,Here:1.3%city:1.0%,Here:32.8%Des Moines:36.2%,Ashbrook:61.7%Des Moines:69.8%,Ashbrook:8.2%Des Moines:13.8%,Population: 557
Area: 0.014 square miles,Average household size:Ashby Manor:21.0 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:1.7Des Moines:2.0,Median age:Males:This neighborhood:38.2 yearsWhole city:33.1 years,Females:This neighborhood:44.6 yearsWhole city:35.7 years,"Ashby Manor:$60,223Des Moines:$49,203",Ashby Manor:$609Des Moines:$690,Males:28Females:28,Ashby Manor:14.3%city:18.9%,Ashby Manor:18.8%Des Moines:21.7%,Here:69.5%Des Moines:66.5%,Ashby Manor:27.8%Des Moines:20.3%,Ashby Manor:0.0%Des Moines:4.7%,Here:0.0%city:1.0%,Here:40.2%Des Moines:36.2%,Ashby Manor:67.0%Des Moines:69.8%,Ashby Manor:9.3%Des Moines:13.8%,Population: 57
Area: 0.028 square miles,Average household size:Ashby Woods:21.0 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:1.7Des Moines:2.0,Median age:Males:This neighborhood:38.2 yearsWhole city:33.1 years,Females:This neighborhood:44.6 yearsWhole city:35.7 years,"Ashby Woods:$60,223Des Moines:$49,203",Ashby Woods:$609Des Moines:$690,Males:57Females:55,Ashby Woods:14.3%city:18.9%,Ashby Woods:18.8%Des Moines:21.7%,Here:69.5%Des Moines:66.5%,Ashby Woods:27.8%Des Moines:20.3%,Ashby Woods:0.0%Des Moines:4.7%,Here:0.0%city:1.0%,Here:40.2%Des Moines:36.2%,Ashby Woods:67.0%Des Moines:69.8%,Ashby Woods:9.2%Des Moines:13.8%,Population: 113
Area: 0.389 square miles,Average household size:Ashworth Estates:2.5 peopleWest Des Moines:2.3 people,Here:1.8city:1.4,This neighborhood:2.1West Des Moines:2.0,Median age:Males:This neighborhood:39.0 yearsWhole city:34.3 years,Females:This neighborhood:42.0 yearsWhole city:34.7 years,"Ashworth Estates:$88,138West Des Moines:$70,906",Ashworth Estates:$835West Des Moines:$843,Males:911Females:967,Ashworth Estates:12.4%city:15.2%,Ashworth Estates:13.8%West Des Moines:15.5%,Here:71.7%West Des Moines:64.2%,Ashworth Estates:22.2%West Des Moines:24.4%,Ashworth Estates:0.2%West Des Moines:1.8%,Here:0.9%city:0.8%,Here:58.8%West Des Moines:47.5%,Ashworth Estates:67.9%West Des Moines:72.3%,Ashworth Estates:6.2%West Des Moines:7.4%,"Population: 1,879"
Area: 0.038 square miles,,,,,,,,,,,,,,,,,,
Area: 0.148 square miles,Average household size:Ashworth Oaks:2.5 peopleDes Moines:2.5 people,Here:1.4city:1.3,This neighborhood:1.8Des Moines:2.0,Median age:Males:This neighborhood:43.6 yearsWhole city:33.1 years,Females:This neighborhood:43.4 yearsWhole city:35.7 years,"Ashworth Oaks:$109,816Des Moines:$49,203",Ashworth Oaks:$817Des Moines:$690,Males:306Females:319,Ashworth Oaks:11.4%city:18.9%,Ashworth Oaks:14.8%Des Moines:21.7%,Here:66.0%Des Moines:66.5%,Ashworth Oaks:29.9%Des Moines:20.3%,Ashworth Oaks:0.4%Des Moines:4.7%,Here:0.7%city:1.0%,Here:55.1%Des Moines:36.2%,Ashworth Oaks:70.6%Des Moines:69.8%,Ashworth Oaks:8.7%Des Moines:13.8%,Population: 625
Area: 0.177 square miles,Average household size:Auburn Heights:2.8 peopleDes Moines:2.5 people,Here:1.8city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:32.2 yearsWhole city:33.1 years,Females:This neighborhood:40.6 yearsWhole city:35.7 years,"Auburn Heights:$52,172Des Moines:$49,203",Auburn Heights:$722Des Moines:$690,Males:607Females:502,Auburn Heights:12.0%city:18.9%,Auburn Heights:24.9%Des Moines:21.7%,Here:66.1%Des Moines:66.5%,Auburn Heights:14.9%Des Moines:20.3%,Auburn Heights:2.7%Des Moines:4.7%,Here:0.7%city:1.0%,Here:40.4%Des Moines:36.2%,Auburn Heights:62.4%Des Moines:69.8%,Auburn Heights:9.0%Des Moines:13.8%,"Population: 1,109"
Area: 0.032 square miles,Average household size:Bacon Acres:24.0 peopleDes Moines:2.5 people,Here:8.8city:1.3,This neighborhood:1.8Des Moines:2.0,Median age:Males:This neighborhood:51.0 yearsWhole city:33.1 years,Females:This neighborhood:47.0 yearsWhole city:35.7 years,"Bacon Acres:$56,538Des Moines:$49,203",Bacon Acres:$651Des Moines:$690,Males:7Females:8,Bacon Acres:8.6%city:18.9%,Bacon Acres:7.9%Des Moines:21.7%,Here:78.2%Des Moines:66.5%,Bacon Acres:16.5%Des Moines:20.3%,Bacon Acres:0.0%Des Moines:4.7%,Here:0.4%city:1.0%,Here:41.2%Des Moines:36.2%,Bacon Acres:68.3%Des Moines:69.8%,Bacon Acres:3.9%Des Moines:13.8%,Population: 16
Area: 0.005 square miles,Average household size:Ballpark Heights:29.0 peopleDes Moines:2.5 people,Here:0.6city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:29.8 yearsWhole city:33.1 years,Females:This neighborhood:49.6 yearsWhole city:35.7 years,"Ballpark Heights:$41,402Des Moines:$49,203",Ballpark Heights:$839Des Moines:$690,Males:16Females:17,Ballpark Heights:17.1%city:18.9%,Ballpark Heights:28.7%Des Moines:21.7%,Here:64.8%Des Moines:66.5%,Ballpark Heights:18.6%Des Moines:20.3%,Ballpark Heights:0.0%Des Moines:4.7%,Here:0.1%city:1.0%,Here:29.1%Des Moines:36.2%,Ballpark Heights:73.1%Des Moines:69.8%,Ballpark Heights:3.1%Des Moines:13.8%,Population: 33
Area: 0.037 square miles,,,,,,,,,,,,,,,,,,
Area: 0.029 square miles,Average household size:Beaver Glen:21.0 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:1.7Des Moines:2.0,Median age:Males:This neighborhood:38.2 yearsWhole city:33.1 years,Females:This neighborhood:44.6 yearsWhole city:35.7 years,"Beaver Glen:$60,223Des Moines:$49,203",Beaver Glen:$609Des Moines:$690,Males:66Females:64,Beaver Glen:14.3%city:18.9%,Beaver Glen:18.8%Des Moines:21.7%,Here:69.5%Des Moines:66.5%,Beaver Glen:27.8%Des Moines:20.3%,Beaver Glen:0.0%Des Moines:4.7%,Here:0.0%city:1.0%,Here:40.2%Des Moines:36.2%,Beaver Glen:67.0%Des Moines:69.8%,Beaver Glen:9.3%Des Moines:13.8%,Population: 131
Area: 0.042 square miles,Average household size:Beaver Heights:10.2 peopleDes Moines:2.5 people,Here:1.3city:1.3,This neighborhood:1.7Des Moines:2.0,Median age:Males:This neighborhood:33.9 yearsWhole city:33.1 years,Females:This neighborhood:37.2 yearsWhole city:35.7 years,"Beaver Heights:$54,709Des Moines:$49,203",Beaver Heights:$706Des Moines:$690,Males:135Females:169,Beaver Heights:28.9%city:18.9%,Beaver Heights:22.3%Des Moines:21.7%,Here:60.9%Des Moines:66.5%,Beaver Heights:28.2%Des Moines:20.3%,Beaver Heights:3.2%Des Moines:4.7%,Here:1.3%city:1.0%,Here:28.8%Des Moines:36.2%,Beaver Heights:62.6%Des Moines:69.8%,Beaver Heights:14.7%Des Moines:13.8%,Population: 304
Area: 0.018 square miles,Average household size:Beaver Hills:2.7 peopleDes Moines:2.5 people,Here:1.8city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:34.3 yearsWhole city:33.1 years,Females:This neighborhood:38.8 yearsWhole city:35.7 years,"Beaver Hills:$67,763Des Moines:$49,203",Beaver Hills:$839Des Moines:$690,Males:29Females:30,Beaver Hills:16.5%city:18.9%,Beaver Hills:3.1%Des Moines:21.7%,Here:68.2%Des Moines:66.5%,Beaver Hills:24.5%Des Moines:20.3%,Beaver Hills:1.9%Des Moines:4.7%,Here:1.2%city:1.0%,Here:59.2%Des Moines:36.2%,Beaver Hills:56.2%Des Moines:69.8%,Beaver Hills:1.3%Des Moines:13.8%,Population: 59
Area: 0.008 square miles,Average household size:Beaver Oaks:21.0 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:1.7Des Moines:2.0,Median age:Males:This neighborhood:38.2 yearsWhole city:33.1 years,Females:This neighborhood:44.6 yearsWhole city:35.7 years,"Beaver Oaks:$60,223Des Moines:$49,203",Beaver Oaks:$609Des Moines:$690,Males:15Females:15,Beaver Oaks:14.3%city:18.9%,Beaver Oaks:18.8%Des Moines:21.7%,Here:69.5%Des Moines:66.5%,Beaver Oaks:27.8%Des Moines:20.3%,Beaver Oaks:0.0%Des Moines:4.7%,Here:0.0%city:1.0%,Here:40.2%Des Moines:36.2%,Beaver Oaks:67.0%Des Moines:69.8%,Beaver Oaks:9.4%Des Moines:13.8%,Population: 31
Area: 0.016 square miles,Average household size:Beaver Park:21.0 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:1.7Des Moines:2.0,Median age:Males:This neighborhood:38.2 yearsWhole city:33.1 years,Females:This neighborhood:44.6 yearsWhole city:35.7 years,"Beaver Park:$60,223Des Moines:$49,203",Beaver Park:$609Des Moines:$690,Males:33Females:32,Beaver Park:14.3%city:18.9%,Beaver Park:18.8%Des Moines:21.7%,Here:69.5%Des Moines:66.5%,Beaver Park:27.8%Des Moines:20.3%,Beaver Park:0.0%Des Moines:4.7%,Here:0.0%city:1.0%,Here:40.2%Des Moines:36.2%,Beaver Park:67.0%Des Moines:69.8%,Beaver Park:9.4%Des Moines:13.8%,Population: 65
Area: 0.010 square miles,Average household size:Beaver Ridge:2.3 peopleDes Moines:2.5 people,Here:13.1city:1.3,This neighborhood:1.0Des Moines:2.0,Median age:Males:This neighborhood:51.0 yearsWhole city:33.1 years,Females:This neighborhood:49.2 yearsWhole city:35.7 years,"Beaver Ridge:$47,479Des Moines:$49,203",Beaver Ridge:$789Des Moines:$690,Males:6Females:9,Beaver Ridge:9.8%city:18.9%,Beaver Ridge:17.6%Des Moines:21.7%,Here:63.0%Des Moines:66.5%,Beaver Ridge:23.6%Des Moines:20.3%,Beaver Ridge:14.3%Des Moines:4.7%,Here:0.0%city:1.0%,Here:60.2%Des Moines:36.2%,Beaver Ridge:64.2%Des Moines:69.8%,Beaver Ridge:6.6%Des Moines:13.8%,Population: 16
Area: 0.023 square miles,Average household size:Beaver Woods:2.3 peopleDes Moines:2.5 people,Here:13.1city:1.3,This neighborhood:1.0Des Moines:2.0,Median age:Males:This neighborhood:51.0 yearsWhole city:33.1 years,Females:This neighborhood:49.2 yearsWhole city:35.7 years,"Beaver Woods:$47,479Des Moines:$49,203",Beaver Woods:$789Des Moines:$690,Males:15Females:20,Beaver Woods:9.8%city:18.9%,Beaver Woods:17.6%Des Moines:21.7%,Here:63.0%Des Moines:66.5%,Beaver Woods:23.6%Des Moines:20.3%,Beaver Woods:12.1%Des Moines:4.7%,Here:0.0%city:1.0%,Here:60.2%Des Moines:36.2%,Beaver Woods:64.2%Des Moines:69.8%,Beaver Woods:6.6%Des Moines:13.8%,Population: 35
Area: 2.016 square miles,Average household size:Beaverdale:4.9 peopleDes Moines:2.5 people,Here:1.2city:1.3,This neighborhood:1.8Des Moines:2.0,Median age:Males:This neighborhood:33.9 yearsWhole city:33.1 years,Females:This neighborhood:33.6 yearsWhole city:35.7 years,"Beaverdale:$54,767Des Moines:$49,203",Beaverdale:$755Des Moines:$690,"Males:4,064Females:4,788",Beaverdale:17.9%city:18.9%,Beaverdale:16.8%Des Moines:21.7%,Here:70.0%Des Moines:66.5%,Beaverdale:24.7%Des Moines:20.3%,Beaverdale:0.9%Des Moines:4.7%,Here:0.8%city:1.0%,Here:34.9%Des Moines:36.2%,Beaverdale:79.1%Des Moines:69.8%,Beaverdale:10.6%Des Moines:13.8%,"Population: 8,853"
Area: 0.007 square miles,Average household size:Beaverdale Gardens:21.0 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:1.7Des Moines:2.0,Median age:Males:This neighborhood:38.2 yearsWhole city:33.1 years,Females:This neighborhood:44.6 yearsWhole city:35.7 years,"Beaverdale Gardens:$60,223Des Moines:$49,203",Beaverdale Gardens:$609Des Moines:$690,Males:13Females:13,Beaverdale Gardens:14.3%city:18.9%,Beaverdale Gardens:18.8%Des Moines:21.7%,Here:69.5%Des Moines:66.5%,Beaverdale Gardens:27.8%Des Moines:20.3%,Beaverdale Gardens:0.0%Des Moines:4.7%,Here:0.0%city:1.0%,Here:40.2%Des Moines:36.2%,Beaverdale Gardens:67.0%Des Moines:69.8%,Beaverdale Gardens:9.3%Des Moines:13.8%,Population: 27
