area,avg_size,cars_per_apartment,cars_per_house,median_age_males,median_females,median_income,median_rent,mf_pop,never_married_females_over_15,never_married_males_over_15,percent_born_in _state,percent_born_in_other_state,percent_do_not_speak_english_well,percent_foreign_born,percent_married,percent_mortgage,percent_single_mothers,population
Area: 0.059 square miles,Average household size:Chesterfield:3.0 peopleDes Moines:2.5 people,Here:1.3city:1.3,This neighborhood:2.3Des Moines:2.0,Median age:Males:This neighborhood:36.3 yearsWhole city:33.1 years,Females:This neighborhood:40.1 yearsWhole city:35.7 years,"Chesterfield:$48,067Des Moines:$49,203",Chesterfield:$643Des Moines:$690,Males:19Females:20,Chesterfield:14.6%city:18.9%,Chesterfield:22.5%Des Moines:21.7%,Here:77.1%Des Moines:66.5%,Chesterfield:13.1%Des Moines:20.3%,Chesterfield:0.0%Des Moines:4.7%,Here:0.5%city:1.0%,Here:36.6%Des Moines:36.2%,Chesterfield:71.8%Des Moines:69.8%,Chesterfield:12.3%Des Moines:13.8%,Population: 39
Area: 0.060 square miles,Average household size:Churchdale:1.9 peopleDes Moines:2.5 people,Here:1.3city:1.3,This neighborhood:1.8Des Moines:2.0,Median age:Males:This neighborhood:36.3 yearsWhole city:33.1 years,Females:This neighborhood:39.0 yearsWhole city:35.7 years,"Churchdale:$73,750Des Moines:$49,203",Churchdale:$719Des Moines:$690,Males:137Females:159,Churchdale:16.3%city:18.9%,Churchdale:16.9%Des Moines:21.7%,Here:79.2%Des Moines:66.5%,Churchdale:18.4%Des Moines:20.3%,Churchdale:0.0%Des Moines:4.7%,Here:0.2%city:1.0%,Here:39.1%Des Moines:36.2%,Churchdale:89.4%Des Moines:69.8%,Churchdale:9.5%Des Moines:13.8%,Population: 297
Area: 0.010 square miles,Average household size:City Center:2.8 peopleDes Moines:2.5 people,Here:0.9city:1.3,This neighborhood:6.1Des Moines:2.0,Median age:Males:This neighborhood:25.8 yearsWhole city:33.1 years,Females:This neighborhood:24.6 yearsWhole city:35.7 years,"City Center:$58,684Des Moines:$49,203",City Center:$725Des Moines:$690,Males:13Females:11,City Center:21.5%city:18.9%,City Center:27.9%Des Moines:21.7%,Here:44.4%Des Moines:66.5%,City Center:31.2%Des Moines:20.3%,City Center:22.7%Des Moines:4.7%,Here:3.4%city:1.0%,Here:26.3%Des Moines:36.2%,City Center:68.5%Des Moines:69.8%,City Center:19.2%Des Moines:13.8%,Population: 24
Area: 0.015 square miles,Average household size:City View:2.4 peopleDes Moines:2.5 people,Here:1.4city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:38.7 yearsWhole city:33.1 years,Females:This neighborhood:39.4 yearsWhole city:35.7 years,"City View:$53,457Des Moines:$49,203",City View:$742Des Moines:$690,Males:10Females:9,City View:8.4%city:18.9%,City View:16.3%Des Moines:21.7%,Here:69.7%Des Moines:66.5%,City View:26.6%Des Moines:20.3%,City View:0.0%Des Moines:4.7%,Here:0.4%city:1.0%,Here:49.1%Des Moines:36.2%,City View:65.1%Des Moines:69.8%,City View:3.0%Des Moines:13.8%,Population: 20
Area: 0.089 square miles,,,,,,,,,,,,,,,,,,
Area: 0.008 square miles,Average household size:Clarkson Place:2.0 peopleDes Moines:2.5 people,Here:2.2city:1.3,This neighborhood:1.8Des Moines:2.0,Median age:Males:This neighborhood:47.4 yearsWhole city:33.1 years,Females:This neighborhood:45.4 yearsWhole city:35.7 years,"Clarkson Place:$49,853Des Moines:$49,203",Clarkson Place:$666Des Moines:$690,Males:10Females:8,Clarkson Place:6.7%city:18.9%,Clarkson Place:19.1%Des Moines:21.7%,Here:69.9%Des Moines:66.5%,Clarkson Place:22.9%Des Moines:20.3%,Clarkson Place:5.9%Des Moines:4.7%,Here:0.2%city:1.0%,Here:45.5%Des Moines:36.2%,Clarkson Place:73.2%Des Moines:69.8%,Clarkson Place:7.1%Des Moines:13.8%,Population: 18
Area: 0.124 square miles,Average household size:Clegg Park:1.9 peopleDes Moines:2.5 people,Here:1.6city:1.3,This neighborhood:2.5Des Moines:2.0,Median age:Males:This neighborhood:35.1 yearsWhole city:33.1 years,Females:This neighborhood:40.2 yearsWhole city:35.7 years,"Clegg Park:$57,832Des Moines:$49,203",Clegg Park:$816Des Moines:$690,Males:181Females:176,Clegg Park:17.9%city:18.9%,Clegg Park:11.1%Des Moines:21.7%,Here:66.7%Des Moines:66.5%,Clegg Park:21.0%Des Moines:20.3%,Clegg Park:0.6%Des Moines:4.7%,Here:0.8%city:1.0%,Here:48.7%Des Moines:36.2%,Clegg Park:63.7%Des Moines:69.8%,Clegg Park:4.8%Des Moines:13.8%,Population: 358
Area: 0.245 square miles,Average household size:Cliffside:2.6 peopleDes Moines:2.5 people,Here:1.4city:1.3,This neighborhood:2.1Des Moines:2.0,Median age:Males:This neighborhood:31.9 yearsWhole city:33.1 years,Females:This neighborhood:34.5 yearsWhole city:35.7 years,"Cliffside:$61,750Des Moines:$49,203",Cliffside:$681Des Moines:$690,Males:224Females:247,Cliffside:16.3%city:18.9%,Cliffside:14.9%Des Moines:21.7%,Here:67.0%Des Moines:66.5%,Cliffside:23.6%Des Moines:20.3%,Cliffside:1.7%Des Moines:4.7%,Here:1.3%city:1.0%,Here:49.9%Des Moines:36.2%,Cliffside:70.5%Des Moines:69.8%,Cliffside:13.9%Des Moines:13.8%,Population: 472
Area: 0.102 square miles,Average household size:Clifton Heights:2.4 peopleDes Moines:2.5 people,Here:5.1city:1.3,This neighborhood:1.4Des Moines:2.0,Median age:Males:This neighborhood:39.8 yearsWhole city:33.1 years,Females:This neighborhood:38.2 yearsWhole city:35.7 years,"Clifton Heights:$51,649Des Moines:$49,203",Clifton Heights:$783Des Moines:$690,Males:143Females:246,Clifton Heights:11.9%city:18.9%,Clifton Heights:11.1%Des Moines:21.7%,Here:78.1%Des Moines:66.5%,Clifton Heights:18.7%Des Moines:20.3%,Clifton Heights:0.0%Des Moines:4.7%,Here:0.7%city:1.0%,Here:47.8%Des Moines:36.2%,Clifton Heights:72.8%Des Moines:69.8%,Clifton Heights:23.5%Des Moines:13.8%,Population: 390
Area: 0.071 square miles,Average household size:Clover Hills:2.0 peopleWest Des Moines:2.3 people,Here:1.7city:1.4,This neighborhood:1.6West Des Moines:2.0,Median age:Males:This neighborhood:39.5 yearsWhole city:34.3 years,Females:This neighborhood:51.0 yearsWhole city:34.7 years,"Clover Hills:$54,040West Des Moines:$70,906",Clover Hills:$630West Des Moines:$843,Males:98Females:115,Clover Hills:17.1%city:15.2%,Clover Hills:14.4%West Des Moines:15.5%,Here:66.7%West Des Moines:64.2%,Clover Hills:21.0%West Des Moines:24.4%,Clover Hills:1.0%West Des Moines:1.8%,Here:0.8%city:0.8%,Here:34.0%West Des Moines:47.5%,Clover Hills:71.7%West Des Moines:72.3%,Clover Hills:22.0%West Des Moines:7.4%,Population: 214
Area: 0.127 square miles,Average household size:Colby Acres:11.2 peopleDes Moines:2.5 people,Here:1.3city:1.3,This neighborhood:1.8Des Moines:2.0,Median age:Males:This neighborhood:43.9 yearsWhole city:33.1 years,Females:This neighborhood:42.6 yearsWhole city:35.7 years,"Colby Acres:$50,048Des Moines:$49,203",Colby Acres:$795Des Moines:$690,Males:200Females:260,Colby Acres:12.5%city:18.9%,Colby Acres:9.7%Des Moines:21.7%,Here:65.0%Des Moines:66.5%,Colby Acres:29.2%Des Moines:20.3%,Colby Acres:1.0%Des Moines:4.7%,Here:0.0%city:1.0%,Here:48.0%Des Moines:36.2%,Colby Acres:66.2%Des Moines:69.8%,Colby Acres:17.1%Des Moines:13.8%,Population: 461
Area: 0.139 square miles,Average household size:Colby's Office Park:2.1 peopleWest Des Moines:2.3 people,Here:1.3city:1.4,This neighborhood:17.7West Des Moines:2.0,Median age:Males:This neighborhood:34.0 yearsWhole city:34.3 years,Females:This neighborhood:38.1 yearsWhole city:34.7 years,"Colby's Office Park:$54,701West Des Moines:$70,906",Colby's Office Park:$910West Des Moines:$843,Males:150Females:91,Colby's Office Park:13.5%city:15.2%,Colby's Office Park:36.5%West Des Moines:15.5%,Here:66.7%West Des Moines:64.2%,Colby's Office Park:21.3%West Des Moines:24.4%,Colby's Office Park:1.3%West Des Moines:1.8%,Here:0.8%city:0.8%,Here:22.5%West Des Moines:47.5%,Colby's Office Park:32.6%West Des Moines:72.3%,Colby's Office Park:104.0%West Des Moines:7.4%,Population: 242
Area: 0.117 square miles,Average household size:College:2.6 peopleDes Moines:2.5 people,Here:1.0city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:35.9 yearsWhole city:33.1 years,Females:This neighborhood:39.0 yearsWhole city:35.7 years,"College:$51,428Des Moines:$49,203",College:$614Des Moines:$690,Males:375Females:337,College:8.9%city:18.9%,College:20.1%Des Moines:21.7%,Here:65.2%Des Moines:66.5%,College:18.1%Des Moines:20.3%,College:5.9%Des Moines:4.7%,Here:1.5%city:1.0%,Here:35.2%Des Moines:36.2%,College:68.1%Des Moines:69.8%,College:3.0%Des Moines:13.8%,Population: 712
Area: 0.116 square miles,Average household size:Colonial Acres:2.6 peopleDes Moines:2.5 people,Here:1.2city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:32.3 yearsWhole city:33.1 years,Females:This neighborhood:32.5 yearsWhole city:35.7 years,"Colonial Acres:$46,462Des Moines:$49,203",Colonial Acres:$731Des Moines:$690,Males:205Females:200,Colonial Acres:16.5%city:18.9%,Colonial Acres:15.7%Des Moines:21.7%,Here:64.8%Des Moines:66.5%,Colonial Acres:19.4%Des Moines:20.3%,Colonial Acres:6.0%Des Moines:4.7%,Here:0.7%city:1.0%,Here:39.8%Des Moines:36.2%,Colonial Acres:73.3%Des Moines:69.8%,Colonial Acres:13.9%Des Moines:13.8%,Population: 406
Area: 0.020 square miles,Average household size:Colonial Gardens:2.6 peopleDes Moines:2.5 people,Here:1.2city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:32.3 yearsWhole city:33.1 years,Females:This neighborhood:32.5 yearsWhole city:35.7 years,"Colonial Gardens:$46,462Des Moines:$49,203",Colonial Gardens:$731Des Moines:$690,Males:35Females:34,Colonial Gardens:16.5%city:18.9%,Colonial Gardens:15.7%Des Moines:21.7%,Here:64.8%Des Moines:66.5%,Colonial Gardens:19.4%Des Moines:20.3%,Colonial Gardens:3.2%Des Moines:4.7%,Here:0.7%city:1.0%,Here:39.8%Des Moines:36.2%,Colonial Gardens:73.3%Des Moines:69.8%,Colonial Gardens:13.9%Des Moines:13.8%,Population: 70
Area: 0.036 square miles,Average household size:Colonial Heights:1.7 peopleWest Des Moines:2.3 people,Here:1.0city:1.4,This neighborhood:1.4West Des Moines:2.0,Median age:Males:This neighborhood:37.0 yearsWhole city:34.3 years,Females:This neighborhood:56.2 yearsWhole city:34.7 years,"Colonial Heights:$46,484West Des Moines:$70,906",Colonial Heights:$630West Des Moines:$843,Males:53Females:73,Colonial Heights:16.6%city:15.2%,Colonial Heights:8.9%West Des Moines:15.5%,Here:66.7%West Des Moines:64.2%,Colonial Heights:21.0%West Des Moines:24.4%,Colonial Heights:0.8%West Des Moines:1.8%,Here:0.8%city:0.8%,Here:30.6%West Des Moines:47.5%,Colonial Heights:75.3%West Des Moines:72.3%,Colonial Heights:26.0%West Des Moines:7.4%,Population: 127
Area: 0.113 square miles,,,,,,,,,,,,,,,,,,
Area: 0.125 square miles,Average household size:Columbia Heights:1.8 peopleDes Moines:2.5 people,Here:0.9city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:52.3 yearsWhole city:33.1 years,Females:This neighborhood:52.1 yearsWhole city:35.7 years,"Columbia Heights:$39,848Des Moines:$49,203",Columbia Heights:$634Des Moines:$690,Males:215Females:186,Columbia Heights:5.7%city:18.9%,Columbia Heights:3.2%Des Moines:21.7%,,,,,Here:48.0%Des Moines:36.2%,Columbia Heights:73.9%Des Moines:69.8%,Columbia Heights:0.0%Des Moines:13.8%,Population: 402
Area: 0.572 square miles,Average household size:Columbus Park (Mckinley School):2.5 peopleDes Moines:2.5 people,Here:0.8city:1.3,This neighborhood:2.1Des Moines:2.0,Median age:Males:This neighborhood:36.2 yearsWhole city:33.1 years,Females:This neighborhood:37.0 yearsWhole city:35.7 years,"Columbus Park (Mckinley School):$44,503Des Moines:$49,203",Columbus Park (Mckinley School):$560Des Moines:$690,Males:864Females:807,Columbus Park (Mckinley School):12.6%city:18.9%,Columbus Park (Mckinley School):20.8%Des Moines:21.7%,Here:76.4%Des Moines:66.5%,Columbus Park (Mckinley School):17.3%Des Moines:20.3%,Columbus Park (Mckinley School):2.0%Des Moines:4.7%,Here:0.8%city:1.0%,Here:38.4%Des Moines:36.2%,Columbus Park (Mckinley School):60.8%Des Moines:69.8%,Columbus Park (Mckinley School):9.5%Des Moines:13.8%,"Population: 1,672"
Area: 0.106 square miles,,,,,,,,,,,,,,,,,,
Area: 0.063 square miles,,,,,,,,,,,,,,,,,,
Area: 0.032 square miles,Average household size:Cornell Heights:2.7 peopleDes Moines:2.5 people,Here:2.0city:1.3,This neighborhood:2.1Des Moines:2.0,Median age:Males:This neighborhood:31.7 yearsWhole city:33.1 years,Females:This neighborhood:43.2 yearsWhole city:35.7 years,"Cornell Heights:$47,143Des Moines:$49,203",Cornell Heights:$692Des Moines:$690,Males:120Females:86,Cornell Heights:12.9%city:18.9%,Cornell Heights:29.6%Des Moines:21.7%,Here:66.4%Des Moines:66.5%,Cornell Heights:14.9%Des Moines:20.3%,Cornell Heights:7.7%Des Moines:4.7%,Here:0.5%city:1.0%,Here:33.7%Des Moines:36.2%,Cornell Heights:61.7%Des Moines:69.8%,Cornell Heights:11.5%Des Moines:13.8%,Population: 206
Area: 0.025 square miles,Average household size:Cotton Mill:3.0 peopleDes Moines:2.5 people,Here:1.7city:1.3,This neighborhood:2.3Des Moines:2.0,Median age:Males:This neighborhood:34.7 yearsWhole city:33.1 years,Females:This neighborhood:40.0 yearsWhole city:35.7 years,"Cotton Mill:$57,725Des Moines:$49,203",Cotton Mill:$644Des Moines:$690,Males:6Females:6,Cotton Mill:16.1%city:18.9%,Cotton Mill:16.6%Des Moines:21.7%,Here:77.1%Des Moines:66.5%,Cotton Mill:13.1%Des Moines:20.3%,Cotton Mill:0.0%Des Moines:4.7%,Here:0.5%city:1.0%,Here:35.7%Des Moines:36.2%,Cotton Mill:71.1%Des Moines:69.8%,Cotton Mill:20.4%Des Moines:13.8%,Population: 12
Area: 0.385 square miles,Average household size:Country Club Estates:6.6 peopleWest Des Moines:2.3 people,Here:2.4city:1.4,This neighborhood:1.8West Des Moines:2.0,Median age:Males:This neighborhood:36.9 yearsWhole city:34.3 years,Females:This neighborhood:40.0 yearsWhole city:34.7 years,"Country Club Estates:$85,255West Des Moines:$70,906",Country Club Estates:$880West Des Moines:$843,Males:799Females:852,Country Club Estates:9.5%city:15.2%,Country Club Estates:11.4%West Des Moines:15.5%,Here:68.1%West Des Moines:64.2%,Country Club Estates:22.0%West Des Moines:24.4%,Country Club Estates:7.6%West Des Moines:1.8%,Here:0.1%city:0.8%,Here:76.8%West Des Moines:47.5%,Country Club Estates:61.2%West Des Moines:72.3%,Country Club Estates:1.4%West Des Moines:7.4%,"Population: 1,651"
Area: 0.126 square miles,Average household size:Country Club Knolls:2.8 peopleDes Moines:2.5 people,Here:1.3city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:42.2 yearsWhole city:33.1 years,Females:This neighborhood:38.7 yearsWhole city:35.7 years,"Country Club Knolls:$136,576Des Moines:$49,203",Country Club Knolls:$634Des Moines:$690,Males:192Females:264,Country Club Knolls:11.9%city:18.9%,Country Club Knolls:5.7%Des Moines:21.7%,Here:64.7%Des Moines:66.5%,Country Club Knolls:31.1%Des Moines:20.3%,Country Club Knolls:0.2%Des Moines:4.7%,Here:0.7%city:1.0%,Here:68.6%Des Moines:36.2%,Country Club Knolls:85.6%Des Moines:69.8%,Country Club Knolls:6.3%Des Moines:13.8%,Population: 457
Area: 0.008 square miles,,,,,,,,,,,,,,,,,,
Area: 0.090 square miles,,,,,,,,,,,,,,,,,,
Area: 0.010 square miles,Average household size:Courtland Heights:2.6 peopleDes Moines:2.5 people,Here:5.7city:1.3,This neighborhood:1.7Des Moines:2.0,Median age:Males:This neighborhood:45.5 yearsWhole city:33.1 years,Females:This neighborhood:35.6 yearsWhole city:35.7 years,"Courtland Heights:$51,797Des Moines:$49,203",Courtland Heights:$782Des Moines:$690,Males:12Females:22,Courtland Heights:8.2%city:18.9%,Courtland Heights:9.8%Des Moines:21.7%,Here:78.3%Des Moines:66.5%,Courtland Heights:18.6%Des Moines:20.3%,Courtland Heights:0.0%Des Moines:4.7%,Here:0.8%city:1.0%,Here:51.0%Des Moines:36.2%,Courtland Heights:74.8%Des Moines:69.8%,Courtland Heights:25.4%Des Moines:13.8%,Population: 35
Area: 0.031 square miles,Average household size:Crown Flair:2.4 peopleWest Des Moines:2.3 people,Here:1.3city:1.4,This neighborhood:1.9West Des Moines:2.0,Median age:Males:This neighborhood:29.2 yearsWhole city:34.3 years,Females:This neighborhood:47.9 yearsWhole city:34.7 years,"Crown Flair:$70,766West Des Moines:$70,906",Crown Flair:$939West Des Moines:$843,Males:100Females:83,Crown Flair:9.3%city:15.2%,Crown Flair:17.6%West Des Moines:15.5%,Here:68.1%West Des Moines:64.2%,Crown Flair:22.0%West Des Moines:24.4%,Crown Flair:1.8%West Des Moines:1.8%,Here:0.1%city:0.8%,Here:48.9%West Des Moines:47.5%,Crown Flair:70.5%West Des Moines:72.3%,Crown Flair:6.8%West Des Moines:7.4%,Population: 184
Area: 0.047 square miles,Average household size:Crown Heights:16.7 peopleDes Moines:2.5 people,Here:1.5city:1.3,This neighborhood:1.7Des Moines:2.0,Median age:Males:This neighborhood:39.6 yearsWhole city:33.1 years,Females:This neighborhood:42.6 yearsWhole city:35.7 years,"Crown Heights:$59,284Des Moines:$49,203",Crown Heights:$858Des Moines:$690,Males:119Females:159,Crown Heights:20.4%city:18.9%,Crown Heights:12.2%Des Moines:21.7%,Here:75.8%Des Moines:66.5%,Crown Heights:19.2%Des Moines:20.3%,Crown Heights:0.0%Des Moines:4.7%,Here:0.5%city:1.0%,Here:45.9%Des Moines:36.2%,Crown Heights:76.3%Des Moines:69.8%,Crown Heights:18.1%Des Moines:13.8%,Population: 278
Area: 0.042 square miles,Average household size:Culver Ridge Estates:2.8 peopleDes Moines:2.5 people,Here:1.8city:1.3,This neighborhood:2.1Des Moines:2.0,Median age:Males:This neighborhood:35.3 yearsWhole city:33.1 years,Females:This neighborhood:42.3 yearsWhole city:35.7 years,"Culver Ridge Estates:$71,754Des Moines:$49,203",Culver Ridge Estates:$839Des Moines:$690,Males:33Females:30,Culver Ridge Estates:8.2%city:18.9%,Culver Ridge Estates:17.5%Des Moines:21.7%,Here:70.4%Des Moines:66.5%,Culver Ridge Estates:22.7%Des Moines:20.3%,Culver Ridge Estates:0.0%Des Moines:4.7%,Here:0.8%city:1.0%,Here:61.9%Des Moines:36.2%,Culver Ridge Estates:76.2%Des Moines:69.8%,Culver Ridge Estates:2.0%Des Moines:13.8%,Population: 63
Area: 0.012 square miles,Average household size:Curtis Bluff Park:3.1 peopleDes Moines:2.5 people,Here:1.5city:1.3,This neighborhood:2.3Des Moines:2.0,Median age:Males:This neighborhood:22.0 yearsWhole city:33.1 years,Females:This neighborhood:20.4 yearsWhole city:35.7 years,"Curtis Bluff Park:$30,455Des Moines:$49,203",Curtis Bluff Park:$607Des Moines:$690,Males:47Females:44,Curtis Bluff Park:35.0%city:18.9%,Curtis Bluff Park:30.3%Des Moines:21.7%,Here:51.0%Des Moines:66.5%,Curtis Bluff Park:26.4%Des Moines:20.3%,Curtis Bluff Park:7.2%Des Moines:4.7%,Here:2.2%city:1.0%,Here:22.8%Des Moines:36.2%,Curtis Bluff Park:70.8%Des Moines:69.8%,Curtis Bluff Park:10.0%Des Moines:13.8%,Population: 91
Area: 0.043 square miles,Average household size:Dailey's Woods:2.7 peopleDes Moines:2.5 people,Here:0.8city:1.3,This neighborhood:2.2Des Moines:2.0,Median age:Males:This neighborhood:34.8 yearsWhole city:33.1 years,Females:This neighborhood:35.2 yearsWhole city:35.7 years,"Dailey's Woods:$53,100Des Moines:$49,203",Dailey's Woods:$613Des Moines:$690,Males:161Females:135,Dailey's Woods:10.7%city:18.9%,Dailey's Woods:22.5%Des Moines:21.7%,Here:77.5%Des Moines:66.5%,Dailey's Woods:17.1%Des Moines:20.3%,Dailey's Woods:0.0%Des Moines:4.7%,Here:0.3%city:1.0%,Here:45.6%Des Moines:36.2%,Dailey's Woods:65.3%Des Moines:69.8%,Dailey's Woods:2.3%Des Moines:13.8%,Population: 296
Area: 0.020 square miles,Average household size:Debra Heights:2.7 peopleDes Moines:2.5 people,Here:1.6city:1.3,This neighborhood:2.1Des Moines:2.0,Median age:Males:This neighborhood:35.8 yearsWhole city:33.1 years,Females:This neighborhood:40.0 yearsWhole city:35.7 years,"Debra Heights:$69,963Des Moines:$49,203",Debra Heights:$575Des Moines:$690,Males:13Females:11,Debra Heights:8.0%city:18.9%,Debra Heights:14.3%Des Moines:21.7%,Here:61.8%Des Moines:66.5%,Debra Heights:19.3%Des Moines:20.3%,Debra Heights:0.0%Des Moines:4.7%,Here:2.6%city:1.0%,Here:63.4%Des Moines:36.2%,Debra Heights:73.0%Des Moines:69.8%,Debra Heights:3.8%Des Moines:13.8%,Population: 25
Area: 0.116 square miles,Average household size:Debra Park:2.7 peopleDes Moines:2.5 people,Here:1.7city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:35.2 yearsWhole city:33.1 years,Females:This neighborhood:39.5 yearsWhole city:35.7 years,"Debra Park:$69,118Des Moines:$49,203",Debra Park:$839Des Moines:$690,Males:103Females:94,Debra Park:11.7%city:18.9%,Debra Park:9.5%Des Moines:21.7%,Here:63.9%Des Moines:66.5%,Debra Park:21.1%Des Moines:20.3%,Debra Park:4.4%Des Moines:4.7%,Here:2.1%city:1.0%,Here:61.6%Des Moines:36.2%,Debra Park:66.2%Des Moines:69.8%,Debra Park:2.1%Des Moines:13.8%,Population: 198
Area: 0.071 square miles,Average household size:Deerfoot Acres:2.6 peopleDes Moines:2.5 people,Here:1.2city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:32.3 yearsWhole city:33.1 years,Females:This neighborhood:32.5 yearsWhole city:35.7 years,"Deerfoot Acres:$46,462Des Moines:$49,203",Deerfoot Acres:$731Des Moines:$690,Males:126Females:123,Deerfoot Acres:16.5%city:18.9%,Deerfoot Acres:15.7%Des Moines:21.7%,Here:64.8%Des Moines:66.5%,Deerfoot Acres:19.4%Des Moines:20.3%,Deerfoot Acres:4.9%Des Moines:4.7%,Here:0.7%city:1.0%,Here:39.8%Des Moines:36.2%,Deerfoot Acres:73.3%Des Moines:69.8%,Deerfoot Acres:13.9%Des Moines:13.8%,Population: 249
Area: 0.370 square miles,Average household size:Demoine:2.8 peopleDes Moines:2.5 people,Here:0.2city:1.3,This neighborhood:6.8Des Moines:2.0,Median age:Males:This neighborhood:25.8 yearsWhole city:33.1 years,Females:This neighborhood:24.6 yearsWhole city:35.7 years,"Demoine:$58,684Des Moines:$49,203",Demoine:$725Des Moines:$690,Males:505Females:418,Demoine:21.5%city:18.9%,Demoine:27.9%Des Moines:21.7%,Here:55.4%Des Moines:66.5%,Demoine:21.1%Des Moines:20.3%,Demoine:32.4%Des Moines:4.7%,Here:3.5%city:1.0%,Here:26.3%Des Moines:36.2%,Demoine:63.6%Des Moines:69.8%,Demoine:18.4%Des Moines:13.8%,Population: 923
Area: 0.027 square miles,Average household size:Dewey Heights:29.0 peopleDes Moines:2.5 people,Here:0.6city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:29.8 yearsWhole city:33.1 years,Females:This neighborhood:49.6 yearsWhole city:35.7 years,"Dewey Heights:$41,402Des Moines:$49,203",Dewey Heights:$839Des Moines:$690,Males:82Females:87,Dewey Heights:17.1%city:18.9%,Dewey Heights:28.7%Des Moines:21.7%,Here:64.8%Des Moines:66.5%,Dewey Heights:18.6%Des Moines:20.3%,Dewey Heights:3.6%Des Moines:4.7%,Here:0.1%city:1.0%,Here:29.1%Des Moines:36.2%,Dewey Heights:73.1%Des Moines:69.8%,Dewey Heights:3.0%Des Moines:13.8%,Population: 169
Area: 0.116 square miles,Average household size:Diagonal Acres:2.8 peopleDes Moines:2.5 people,Here:1.7city:1.3,This neighborhood:2.1Des Moines:2.0,Median age:Males:This neighborhood:37.1 yearsWhole city:33.1 years,Females:This neighborhood:36.5 yearsWhole city:35.7 years,"Diagonal Acres:$59,191Des Moines:$49,203",Diagonal Acres:$778Des Moines:$690,Males:32Females:37,Diagonal Acres:14.0%city:18.9%,Diagonal Acres:21.4%Des Moines:21.7%,Here:70.4%Des Moines:66.5%,Diagonal Acres:22.7%Des Moines:20.3%,Diagonal Acres:0.0%Des Moines:4.7%,Here:0.8%city:1.0%,Here:39.3%Des Moines:36.2%,Diagonal Acres:58.2%Des Moines:69.8%,Diagonal Acres:10.1%Des Moines:13.8%,Population: 69
Area: 0.016 square miles,Average household size:Dodge Heights:2.7 peopleDes Moines:2.5 people,Here:1.2city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:27.0 yearsWhole city:33.1 years,Females:This neighborhood:35.5 yearsWhole city:35.7 years,"Dodge Heights:$40,671Des Moines:$49,203",Dodge Heights:$649Des Moines:$690,Males:44Females:47,Dodge Heights:19.4%city:18.9%,Dodge Heights:8.8%Des Moines:21.7%,Here:67.9%Des Moines:66.5%,Dodge Heights:22.3%Des Moines:20.3%,Dodge Heights:12.0%Des Moines:4.7%,Here:0.1%city:1.0%,Here:41.2%Des Moines:36.2%,Dodge Heights:81.3%Des Moines:69.8%,Dodge Heights:18.3%Des Moines:13.8%,Population: 91
Area: 0.009 square miles,Average household size:Doudna Heights:33.0 peopleDes Moines:2.5 people,Here:1.0city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:36.6 yearsWhole city:33.1 years,Females:This neighborhood:26.5 yearsWhole city:35.7 years,"Doudna Heights:$45,673Des Moines:$49,203",Doudna Heights:$664Des Moines:$690,Males:31Females:37,Doudna Heights:20.2%city:18.9%,Doudna Heights:10.3%Des Moines:21.7%,Here:50.9%Des Moines:66.5%,Doudna Heights:18.8%Des Moines:20.3%,Doudna Heights:23.3%Des Moines:4.7%,Here:1.6%city:1.0%,Here:41.7%Des Moines:36.2%,Doudna Heights:86.0%Des Moines:69.8%,Doudna Heights:6.4%Des Moines:13.8%,Population: 68
Area: 1.690 square miles,Average household size:Douglas Acres:2.4 peopleDes Moines:2.5 people,Here:1.6city:1.3,This neighborhood:2.4Des Moines:2.0,Median age:Males:This neighborhood:34.9 yearsWhole city:33.1 years,Females:This neighborhood:36.8 yearsWhole city:35.7 years,"Douglas Acres:$46,648Des Moines:$49,203",Douglas Acres:$643Des Moines:$690,"Males:1,808Females:1,833",Douglas Acres:15.0%city:18.9%,Douglas Acres:16.7%Des Moines:21.7%,Here:75.5%Des Moines:66.5%,Douglas Acres:14.9%Des Moines:20.3%,Douglas Acres:1.2%Des Moines:4.7%,Here:0.8%city:1.0%,Here:42.7%Des Moines:36.2%,Douglas Acres:60.5%Des Moines:69.8%,Douglas Acres:14.7%Des Moines:13.8%,"Population: 3,642"
